Recipient Name,Award Amount,Careers Search
"KALMAN & COMPANY, INC.",450000.0,https://www.google.com/search?q=KALMAN%20%26%20COMPANY%2C%20INC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"CONTI FEDERAL SERVICES, LLC",448487.77,https://www.google.com/search?q=CONTI%20FEDERAL%20SERVICES%2C%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"FEDCAP REHABILITATION SERVICES, INC",447371.16,https://www.google.com/search?q=FEDCAP%20REHABILITATION%20SERVICES%2C%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"DEFENSE CONTRACTING ACTIVITY, LLC",445146.41,https://www.google.com/search?q=DEFENSE%20CONTRACTING%20ACTIVITY%2C%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
CHAINBRIDGE SOLUTIONS INCORPORATED,440416.5,https://www.google.com/search?q=CHAINBRIDGE%20SOLUTIONS%20INCORPORATED%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"IMPRES TECHNOLOGY SOLUTIONS, INC",437191.2,https://www.google.com/search?q=IMPRES%20TECHNOLOGY%20SOLUTIONS%2C%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
WORK INC,425290.97,https://www.google.com/search?q=WORK%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"AINS, LLC",412573.86,https://www.google.com/search?q=AINS%2C%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
MSM TECHNOLOGY LLC,410196.28,https://www.google.com/search?q=MSM%20TECHNOLOGY%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
UVS INFOTECH LLC.,402245.34,https://www.google.com/search?q=UVS%20INFOTECH%20LLC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
CLINTON VAULS TECHNOLOGY GROUP LLC,401935.59,https://www.google.com/search?q=CLINTON%20VAULS%20TECHNOLOGY%20GROUP%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"BURLESON RESEARCH TECHNOLOGIES, INC.",382200.0,https://www.google.com/search?q=BURLESON%20RESEARCH%20TECHNOLOGIES%2C%20INC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"VERACITY CONSULTING, INC.",381829.8,https://www.google.com/search?q=VERACITY%20CONSULTING%2C%20INC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
AGILENT TECHNOLOGIES INC,374989.44,https://www.google.com/search?q=AGILENT%20TECHNOLOGIES%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
PARAGON PROFESSIONAL SERVICES LLC,369934.95,https://www.google.com/search?q=PARAGON%20PROFESSIONAL%20SERVICES%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
CASO LOGZONE LLC,367045.13,https://www.google.com/search?q=CASO%20LOGZONE%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"PLATEAU SOFTWARE, INC.",356007.8,https://www.google.com/search?q=PLATEAU%20SOFTWARE%2C%20INC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"T-MOBILE USA, INC.",350000.0,https://www.google.com/search?q=T-MOBILE%20USA%2C%20INC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"BOWHEAD ENTERPRISE, SCIENCE AND TECHNOLOGY, LLC",340000.0,https://www.google.com/search?q=BOWHEAD%20ENTERPRISE%2C%20SCIENCE%20AND%20TECHNOLOGY%2C%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"RURAL AND TRIBAL ENVIRONMENTAL SOLUTIONS, INC",331177.09,https://www.google.com/search?q=RURAL%20AND%20TRIBAL%20ENVIRONMENTAL%20SOLUTIONS%2C%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"DEAF ACCESS SOLUTIONS, INC",300000.0,https://www.google.com/search?q=DEAF%20ACCESS%20SOLUTIONS%2C%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
FEDSIGHT-JPI JV LLC,294210.54,https://www.google.com/search?q=FEDSIGHT-JPI%20JV%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
MUSE TECHNOLOGIES INC,292991.9,https://www.google.com/search?q=MUSE%20TECHNOLOGIES%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
CHEROKEE NATION SYSTEM SOLUTIONS LLC,290000.0,https://www.google.com/search?q=CHEROKEE%20NATION%20SYSTEM%20SOLUTIONS%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
JWMG MANAGEMENT GROUP LLC,285713.58,https://www.google.com/search?q=JWMG%20MANAGEMENT%20GROUP%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
FOODCHAIN ID GROUP INC,275000.0,https://www.google.com/search?q=FOODCHAIN%20ID%20GROUP%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
CONSOLIDATED SAFETY SERVICES INCORPORATED,265983.78,https://www.google.com/search?q=CONSOLIDATED%20SAFETY%20SERVICES%20INCORPORATED%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
