Recipient Name,Award Amount,Careers Search
SCOPE INFOTECH INC,2138561.01,https://www.google.com/search?q=SCOPE%20INFOTECH%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
SOFTWARE INFORMATION RESOURCE CORP.,2133727.41,https://www.google.com/search?q=SOFTWARE%20INFORMATION%20RESOURCE%20CORP.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
RAINMAKERS STRATEGIC SOLUTIONS LLC,2050892.33,https://www.google.com/search?q=RAINMAKERS%20STRATEGIC%20SOLUTIONS%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
MYERS & STAUFFER LC,1999087.79,https://www.google.com/search?q=MYERS%20%26%20STAUFFER%20LC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
PORTER NOVELLI PUBLIC SERVICES INC.,1804993.0,https://www.google.com/search?q=PORTER%20NOVELLI%20PUBLIC%20SERVICES%20INC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
EMAGINE IT INC,1801278.72,https://www.google.com/search?q=EMAGINE%20IT%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
UNISON SOFTWARE INC,1800037.52,https://www.google.com/search?q=UNISON%20SOFTWARE%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
TRIPTK LLC,1751600.0,https://www.google.com/search?q=TRIPTK%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"L&M POLICY RESEARCH, LLC",1728756.58,https://www.google.com/search?q=L%26M%20POLICY%20RESEARCH%2C%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"RIPPLE EFFECT COMMUNICATIONS, INC.",1701871.87,https://www.google.com/search?q=RIPPLE%20EFFECT%20COMMUNICATIONS%2C%20INC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
TRADE PRODUCTS CORP.,1595603.25,https://www.google.com/search?q=TRADE%20PRODUCTS%20CORP.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"ALAN S. NEWMAN ASSOCIATES, INC.",1587185.0,https://www.google.com/search?q=ALAN%20S.%20NEWMAN%20ASSOCIATES%2C%20INC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"BELLESE TECHNOLOGIES, LLC",1576164.99,https://www.google.com/search?q=BELLESE%20TECHNOLOGIES%2C%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
